Id,Which team do you work in?,Which bests describes your role,How often to you use ALDI GPT?,What types of tasks would you like ALDI GPT help you with?,Column1,What currently limits your use of AI tools?,What type of support would you find most useful?,How confident do you currently feel using AI tools in your role?
29,Admin,Office Assistant / Assistant,Daily,"- Finding technical fields and tables in SAP S/4 Hana
- Explaining what certain SQLs are pulling and what they are doing
- Creating excel formulas",,I would benefit from more practical training or examples,"Role-specific examples and team workshops;Quick reference guides, templates and prompting tips;Ongoing support sessions, Q&A or consultation;",Somewhat confident
10,Admin,Specialist / Analyst,Daily,"I use ALDI GPT and Copilot daily, from proofreading written correspondence to helping with Excel formulas. It helps me find relevant emails, saving time searching through archives, and to suggests different ways of working or looking at a situation.",,I would benefit from more practical training or examples,Introductory AI training and practical demonstrations;,Somewhat confident
18,NBC/POST,Specialist / Analyst,Daily,"Providing summaries of reports and data analysing
Providing figures and stats ",,I would benefit from more practical training or examples,Role-specific examples and team workshops;,Somewhat confident
1,Admin,Specialist / Analyst,Daily,many,,I would benefit from more practical training or examples,"Role-specific examples and team workshops;Quick reference guides, templates and prompting tips;Ongoing support sessions, Q&A or consultation;",Very Confident
15,Admin,Manager / Director,Weekly,Generally for checking emails for clarity and conciseness,,I have not had enough time or opportunity to explore it yet,Introductory AI training and practical demonstrations;,Neutral
17,Admin,Office Assistant / Assistant,Tried it once or twice,excel spreadsheet fomulars /macros,,I have not had enough time or opportunity to explore it yet,"Introductory AI training and practical demonstrations;Role-specific examples and team workshops;Quick reference guides, templates and prompting tips;Ongoing support sessions, Q&A or consultation;",Neutral
21,National Sustainability,Specialist / Analyst,Tried it once or twice,"Clear excel shortcuts and formulas that isn't a description similar to google or other search engines, professional writing for external stake holders where ambiguity is removed (i.e. to provide clearer messaging)",,I have not had enough time or opportunity to explore it yet,,Not very confident
14,National Sustainability,Manager / Director,Occasionally,"Excel formulas, Excel macros, written text improvements, meeting notes to text",,I have not had enough time or opportunity to explore it yet,Role-specific examples and team workshops;,Somewhat confident
26,Admin,Manager / Director,Occasionally,"Search information across all published materials on SharePoint e.g. NBuy Training Manual, Handbook, BRAIN, POST etc
Assistant level tasks e.g. Excel support for data reporting. For q5 below, I can only select one answer but they're all applicable. Answer to Q7 relates to accuracy of tools rather than personal confidence level.",,"I have concerns around accuracy, quality or appropriate use","Introductory AI training and practical demonstrations;Quick reference guides, templates and prompting tips;Ongoing support sessions, Q&A or consultation;",Not very confident
2,Projects,Office Assistant / Assistant,Weekly,"Summarise information, re-write information, get ideas on formatting and templates. ",,"I have concerns around accuracy, quality or appropriate use","Quick reference guides, templates and prompting tips;",Somewhat confident
8,Projects,Office Assistant / Assistant,Daily,"Currently I use ALDI GPT to assist with checking spelling, grammar, and tone in responses where the audience might need to be considered, for example senior leadership. I use it to summarise meeting notes & populate meeting minutes. 
I have tried to use it to analyse data and highlight trends but I would say the consistency and accuracy is up and down. ",,"I have concerns around accuracy, quality or appropriate use",Role-specific examples and team workshops;,Somewhat confident
4,Admin,Specialist / Analyst,Daily,"- spell check
- write introduction paragraph based on input of excel data (example is to write an introduction email from ASN compliance score percentage)
- My GPT's to search sharepoint documents, data, MS files and give specific output, such as step by step instructions or bullet point answers
- reply to high level stakeholders to ensure correct etiquette, grammar and writing style
- Simple calculations and comparing documents or data sets
- acronym meanings
- Using Rovo to create Jira tasks
- Generate statistics in simple pie chart or clear visual performance metrics
- translate foreign language to English
- help with US English to AU English spelling 
- ask for windows keyboard shortcuts
- reduce overly explained text or emails to more palatable level
- upload screen shot image during presentations of URL and convert into text to access website
- ask for SAP transaction codes and tables (not so successful)",,"I have concerns around accuracy, quality or appropriate use","Quick reference guides, templates and prompting tips;Ongoing support sessions, Q&A or consultation;Introductory AI training and practical demonstrations;",Somewhat confident
5,Projects,Specialist / Analyst,Daily,"Help with excel formulas, vba code, sql code, re-writing communications",,"I have concerns around accuracy, quality or appropriate use",Introductory AI training and practical demonstrations;Role-specific examples and team workshops;,Somewhat confident
22,NBC/POST,Specialist / Analyst,Occasionally,"Proof reading, script writing, logic help",,"I have concerns around accuracy, quality or appropriate use","Quick reference guides, templates and prompting tips;",Somewhat confident
27,NBC/POST,Specialist / Analyst,Daily,"Writing tool, project scoping ideas",,"I have concerns around accuracy, quality or appropriate use",Role-specific examples and team workshops;,Somewhat confident
16,NBC/POST,Manager / Director,Occasionally,Tighten emails. ,,"I have concerns around accuracy, quality or appropriate use",,Very Confident
